term,timestamp,close,confirmed_at,retrospective
short,2024-10-30 00:00:00+00:00,72782.82,2024-11-06 00:00:00+00:00,True
short,2024-11-05 00:00:00+00:00,67792.92,2024-11-12 00:00:00+00:00,True
short,2024-11-23 00:00:00+00:00,98851.49,2024-11-30 00:00:00+00:00,True
short,2024-11-27 00:00:00+00:00,91993.22,2024-12-04 00:00:00+00:00,True
short,2024-12-18 00:00:00+00:00,106052.0,2024-12-25 00:00:00+00:00,True
short,2024-12-31 00:00:00+00:00,92811.03000000001,2025-01-07 00:00:00+00:00,True
short,2025-01-07 00:00:00+00:00,102222.0,2025-01-14 00:00:00+00:00,True
short,2025-01-10 00:00:00+00:00,92406.11,2025-01-17 00:00:00+00:00,True
short,2025-01-22 00:00:00+00:00,106198.0,2025-01-29 00:00:00+00:00,True
short,2025-02-13 00:00:00+00:00,97799.93,2025-02-20 00:00:00+00:00,True
short,2025-02-21 00:00:00+00:00,98386.99,2025-02-28 00:00:00+00:00,True
short,2025-02-27 00:00:00+00:00,84000.0,2025-03-06 00:00:00+00:00,True
short,2025-03-11 00:00:00+00:00,78794.69,2025-03-18 00:00:00+00:00,True
short,2025-03-26 00:00:00+00:00,87483.06,2025-04-02 00:00:00+00:00,True
short,2025-04-09 00:00:00+00:00,76379.96,2025-04-16 00:00:00+00:00,True
short,2025-04-13 00:00:00+00:00,85288.46,2025-04-20 00:00:00+00:00,True
short,2025-05-11 00:00:00+00:00,104739.0,2025-05-18 00:00:00+00:00,True
short,2025-05-23 00:00:00+00:00,111666.0,2025-05-30 00:00:00+00:00,True
short,2025-06-06 00:00:00+00:00,101594.0,2025-06-13 00:00:00+00:00,True
short,2025-06-11 00:00:00+00:00,110229.0,2025-06-18 00:00:00+00:00,True
short,2025-06-23 00:00:00+00:00,100827.0,2025-06-30 00:00:00+00:00,True
